pwndbg> vmmap
LEGEND: STACK | HEAP | CODE | DATA | WX | RODATA
             Start                End Perm     Size Offset File
    0x1637e7ac8000     0x1637e7ac9000 r--p     1000      0 [anon_1637e7ac8]
    0x1a4100000000     0x1a4100001000 rw-p     1000      0 [anon_1a4100000]
    0x1a4100001000     0x1a41000c0000 ---p    bf000      0 [anon_1a4100001]
    0x1a41000c0000     0x1a4100100000 rw-p    40000      0 [anon_1a41000c0]
    0x1a4100100000     0x1a4140000000 ---p 3ff00000      0 [anon_1a4100100]
    0x1c0f812e9000     0x1c0f812eb000 rwxp     2000      0 [anon_1c0f812e9]
    0x1ef700000000     0x1eff00000000 ---p 800000000      0 [anon_1ef700000]
    0x1eff00000000     0x1eff00010000 r--p    10000      0 [anon_1eff00000]
    0x1eff00010000     0x1eff00020000 ---p    10000      0 [anon_1eff00010]
    0x1eff00020000     0x1eff00040000 r--p    20000      0 [anon_1eff00020]
    0x1eff00040000     0x1eff00143000 rw-p   103000      0 [anon_1eff00040]
    0x1eff00143000     0x1eff00180000 ---p    3d000      0 [anon_1eff00143]
    0x1eff00180000     0x1eff00280000 rw-p   100000      0 [anon_1eff00180]
    0x1eff00280000     0x1eff00295000 r--p    15000      0 [anon_1eff00280]
    0x1eff00295000     0x1eff002c0000 ---p    2b000      0 [anon_1eff00295]
    0x1eff002c0000     0x1eff00340000 rw-p    80000      0 [anon_1eff002c0]
    0x1eff00340000     0x1f0000000000 ---p ffcc0000      0 [anon_1eff00340]
    0x1f0000000000     0x1f0000100000 rw-p   100000      0 [anon_1f0000000]
    0x1f0000100000     0x1f0200000000 ---p 1fff00000      0 [anon_1f0000100]
    0x1f0200000000     0x1f0240000000 rw-p 40000000      0 [anon_1f0200000]
    0x1f0240000000     0x200700000000 ---p 104c0000000      0 [anon_1f0240000]
    0x555555554000     0x555555a29000 r--p   4d5000      0 /home/vult/v8_sb_fuzz/v8/out/release/d8
    0x555555a2a000     0x555556ec9000 r-xp  149f000 4d5000 /home/vult/v8_sb_fuzz/v8/out/release/d8
    0x555556ec9000     0x555556f24000 r--p    5b000 1973000 /home/vult/v8_sb_fuzz/v8/out/release/d8
    0x555556f25000     0x555556f31000 rw-p     c000 19ce000 /home/vult/v8_sb_fuzz/v8/out/release/d8
    0x555556f31000     0x555556f32000 r--p     1000 19da000 /home/vult/v8_sb_fuzz/v8/out/release/d8
    0x555556f32000     0x555556f40000 rw-p     e000 19db000 /home/vult/v8_sb_fuzz/v8/out/release/d8
    0x555556f40000     0x55555707a000 rw-p   13a000      0 [heap]
    0x5555b6b00000     0x5555d6b00000 rwxp 20000000      0 [anon_5555b6b00]
    0x7fff0c000000     0x7fff0c021000 rw-p    21000      0 [anon_7fff0c000]
    0x7fff0c021000     0x7fff10000000 ---p  3fdf000      0 [anon_7fff0c021]
    0x7fff10000000     0x7fff10021000 rw-p    21000      0 [anon_7fff10000]
    0x7fff10021000     0x7fff14000000 ---p  3fdf000      0 [anon_7fff10021]
    0x7fff14000000     0x7fff14021000 rw-p    21000      0 [anon_7fff14000]
    0x7fff14021000     0x7fff18000000 ---p  3fdf000      0 [anon_7fff14021]
    0x7fff18000000     0x7fff18021000 rw-p    21000      0 [anon_7fff18000]
    0x7fff18021000     0x7fff1c000000 ---p  3fdf000      0 [anon_7fff18021]
    0x7fff1c000000     0x7fff1c021000 rw-p    21000      0 [anon_7fff1c000]
    0x7fff1c021000     0x7fff20000000 ---p  3fdf000      0 [anon_7fff1c021]
    0x7fff20000000     0x7fff20021000 rw-p    21000      0 [anon_7fff20000]
    0x7fff20021000     0x7fff24000000 ---p  3fdf000      0 [anon_7fff20021]
    0x7fff24000000     0x7fff24010000 r--p    10000      0 [anon_7fff24000]
    0x7fff24010000     0x7fff2c000000 ---p  7ff0000      0 [anon_7fff24010]
    0x7fff2c000000     0x7fff2c010000 r--p    10000      0 [anon_7fff2c000]
    0x7fff2c010000     0x7fff2c020000 rw-p    10000      0 [anon_7fff2c010]
    0x7fff2c020000     0x7fff4c000000 ---p 1ffe0000      0 [anon_7fff2c020]
    0x7fff4c000000     0x7fff4c010000 r--p    10000      0 [anon_7fff4c000]
    0x7fff4c010000     0x7fff54000000 ---p  7ff0000      0 [anon_7fff4c010]
    0x7fff54000000     0x7fff54010000 r--p    10000      0 [anon_7fff54000]
    0x7fff54010000     0x7fff54020000 rw-p    10000      0 [anon_7fff54010]
    0x7fff54020000     0x7fff58000000 ---p  3fe0000      0 [anon_7fff54020]
    0x7fff58000000     0x7fff58010000 r--p    10000      0 [anon_7fff58000]
    0x7fff58010000     0x7fff78000000 ---p 1fff0000      0 [anon_7fff58010]
    0x7fff78000000     0x7fff78010000 r--p    10000      0 [anon_7fff78000]
    0x7fff78010000     0x7fff78030000 rw-p    20000      0 [anon_7fff78010]
    0x7fff78030000     0x7fff98000000 ---p 1ffd0000      0 [anon_7fff78030]
    0x7fff98000000     0x7fff98010000 r--p    10000      0 [anon_7fff98000]
    0x7fff98010000     0x7fff98030000 rw-p    20000      0 [anon_7fff98010]
    0x7fff98030000     0x7fffa0000000 ---p  7fd0000      0 [anon_7fff98030]
    0x7fffa0000000     0x7fffa0021000 rw-p    21000      0 [anon_7fffa0000]
    0x7fffa0021000     0x7fffa4000000 ---p  3fdf000      0 [anon_7fffa0021]
    0x7fffa47f9000     0x7fffa47fa000 ---p     1000      0 [anon_7fffa47f9]
    0x7fffa47fa000     0x7fffa4ffa000 rw-p   800000      0 [anon_7fffa47fa]
    0x7fffa4ffa000     0x7fffa4ffb000 ---p     1000      0 [anon_7fffa4ffa]
    0x7fffa4ffb000     0x7fffa57fb000 rw-p   800000      0 [anon_7fffa4ffb]
    0x7fffa57fb000     0x7fffa57fc000 ---p     1000      0 [anon_7fffa57fb]
    0x7fffa57fc000     0x7fffa5ffc000 rw-p   800000      0 [anon_7fffa57fc]
    0x7fffa5ffc000     0x7fffa5ffd000 ---p     1000      0 [anon_7fffa5ffc]
    0x7fffa5ffd000     0x7fffa67fd000 rw-p   800000      0 [anon_7fffa5ffd]
